,name,sector,positives,negatives,votes,rating
434,Meesho,Internet,Salary & Benefits,"Job Security, Promotions / Appraisal",2.1k,3.7
435,Sify Technologies,IT Services & Consulting,nan,"Promotions / Appraisal, Company Culture, Salary & Benefits",2.1k,3.6
436,Allstate,Insurance,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Job Security",2.1k,3.6
437,Ambuja Cements,Building Material,nan,"Promotions / Appraisal, Job Security",2.1k,3.8
438,ValueLabs,IT Services & Consulting,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",2.1k,3.5
439,Microsoft Corporation,Software Product,"Work Life Balance, Company Culture","Job Security, Promotions / Appraisal",2.1k,3.8
440,Bank of Baroda,Banking,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.1k,3.5
441,Life Insurance Corporation of India,Insurance,"Work Life Balance, Company Culture, Skill Development / Learning",nan,2.1k,4.4
442,Huawei Technologies,Telecom,"Salary & Benefits, Skill Development / Learning",Job Security,2.1k,4.0
443,Brakes India,Auto Components,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits",2.1k,3.9
444,BHEL,Electrical Equipment,"Job Security, Work Life Balance, Company Culture",nan,2.1k,4.2
445,Cargill,Food Processing,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,2.1k,3.9
446,Spark Minda,Auto Components,nan,Promotions / Appraisal,2.1k,3.8
447,Simplex Infrastructures,Engineering & Construction,nan,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",2.1k,3.4
448,upGrad,EdTech,nan,"Job Security, Promotions / Appraisal, Work Satisfaction",2.1k,3.4
449,CAMS,Financial Services,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.1k,3.6
450,Power Mech Projects,Engineering & Construction,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits",2.1k,3.8
451,FirstCry,Retail,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.1k,3.6
452,Pfizer,Pharma,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security",2.1k,3.9
453,Generali Central Life Insurance,Insurance,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",2.1k,3.5
454,Mercedes-Benz Research and Development India,IT Services & Consulting,"Work Life Balance, Job Security","Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",2.1k,3.6
455,Poonawalla Fincorp,NBFC,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.1k,3.6
456,Bharat Petroleum,Oil & Gas,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,2.1k,4.2
457,"Maruti Suzuki India Limited, Hansalpur",Automobile,"Job Security, Salary & Benefits, Company Culture",nan,2.1k,4.2
458,Force Motors,Automobile,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.1k,3.7
459,Nuvoco Vistas,Building Material,"Job Security, Skill Development / Learning, Salary & Benefits",nan,2.1k,4.1
460,NTT DATA Business Solutions,IT Services & Consulting,"Work Life Balance, Company Culture, Job Security",nan,2.1k,4.1
461,Saint-Gobain,Building Material,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",2.1k,3.9
462,Jio Platforms,IT Services & Consulting,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",2.1k,3.4
463,Ola Cabs,Internet,nan,"Job Security, Promotions / Appraisal, Company Culture",2.1k,3.3
464,Kotak Securities,Financial Services,nan,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",2k,3.5
465,Raymond Lifestyle Limited,Fashion & Textile,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,2k,4.2
466,Reliance Trends,Retail,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,2k,4.0
467,Manipal Hospitals,Healthcare,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,2k,4.1
468,Renault-Nissan,Automobile,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,2k,4.1
469,IndusInd General Insurance,Insurance,nan,"Promotions / Appraisal, Work Satisfaction, Company Culture",2k,3.6
470,Delphi TVS,Auto Components,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",2k,3.9
471,ITC Hotels,Hospitality,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,2k,4.1
472,Henry Harvin Education,EdTech,nan,nan,2k,3.6
473,Extramarks Education,EdTech,nan,"Job Security, Promotions / Appraisal, Work Satisfaction",2k,3.4
474,CitiusTech,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",2k,3.2
475,JK Tyre,Auto Components,nan,"Promotions / Appraisal, Company Culture, Salary & Benefits",2k,3.7
476,Biological E,Pharma,"Job Security, Company Culture, Work Life Balance",nan,2k,4.2
477,Infinite Computer Solutions,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",2k,3.3
478,Morgan Stanley,Financial Services,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",2k,3.6
479,YASH Technologies,IT Services & Consulting,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",2k,3.7
480,SGS,"Testing, Inspection and Certification (TIC)",Work Life Balance,"Promotions / Appraisal, Salary & Benefits",2k,3.8
481,EPAM Systems,IT Services & Consulting,"Skill Development / Learning, Salary & Benefits, Work Life Balance","Promotions / Appraisal, Job Security, Work Satisfaction",2k,3.7
482,Senco Gold,Jewellery,"Job Security, Skill Development / Learning, Company Culture",nan,2k,4.4
483,State Street Syntel,Financial Services,Job Security,"Promotions / Appraisal, Salary & Benefits",2k,3.7
484,Ninjacart,Internet,Salary & Benefits,"Job Security, Promotions / Appraisal",2k,3.8
485,Novartis,Pharma,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,2k,4.1
486,K12 Techno Services,EdTech,nan,"Promotions / Appraisal, Job Security",2k,3.7
487,HSBC Electronic Data Processing,IT Services & Consulting,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,2k,4.0
488,SAP,Software Product,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,2k,4.1
489,Valeo,Auto Components,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,2k,3.9
490,IDBI Bank,Banking,nan,"Promotions / Appraisal, Company Culture, Work Life Balance",1.9k,3.4
491,AECOM,Engineering & Construction,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,1.9k,4.2
492,Narayana Health,Healthcare,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,1.9k,4.0
493,L&T Energy Hydrocarbon,Engineering & Construction,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance, Company Culture",1.9k,3.8
494,Aditya Birla Health Insurance Co,Insurance,nan,Promotions / Appraisal,1.9k,3.7
495,Paisabazaar.com,Internet,nan,"Job Security, Promotions / Appraisal, Company Culture",1.9k,3.4
496,Honeywell Automation,Industrial Automation,nan,"Promotions / Appraisal, Work Satisfaction",1.9k,3.7
497,Schindler,Industrial Machinery,"Skill Development / Learning, Company Culture, Salary & Benefits",Promotions / Appraisal,1.9k,3.9
498,Trent,Retail,"Job Security, Skill Development / Learning",Promotions / Appraisal,1.9k,3.8
499,Motherson Automotive Technologies and Engineering,Auto Components,Job Security,Promotions / Appraisal,1.9k,3.8
500,Shadowfax Technologies,Logistics,nan,"Job Security, Promotions / Appraisal, Company Culture",1.9k,3.5
501,R.R. Donnelley,Marketing & Advertising,Job Security,"Promotions / Appraisal, Salary & Benefits",1.9k,3.7
502,V-Guard Industries,Consumer Electronics & Appliances,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,1.9k,4.3
503,Haier Appliances India,Consumer Electronics & Appliances,"Work Life Balance, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,1.9k,4.0
504,Philips,Medical Equipment,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security",1.9k,3.8
505,Dr Lal PathLabs,Healthcare,"Job Security, Company Culture, Skill Development / Learning",nan,1.9k,4.2
506,Parle Products,FMCG,Salary & Benefits,Promotions / Appraisal,1.9k,3.9
507,Microland,IT Services & Consulting,nan,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",1.9k,3.5
508,Uflex,Packaging,"Job Security, Work Life Balance",Promotions / Appraisal,1.9k,3.8
509,Gabriel India Limited,Auto Components,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,1.9k,4.1
510,NCR Voyix,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Skill Development / Learning",1.9k,3.5
511,CMS Infosystems,Software Product,nan,"Promotions / Appraisal, Salary & Benefits, Company Culture",1.9k,3.5
512,Spinny,Internet,nan,"Promotions / Appraisal, Job Security, Work Life Balance",1.9k,3.7
513,Globiva,BPO,nan,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",1.9k,3.0
514,Tekwissen,IT Services & Consulting,"Company Culture, Work Life Balance, Work Satisfaction",nan,1.9k,4.9
515,Google,Software Product,"Company Culture, Work Life Balance, Work Satisfaction",nan,1.9k,4.4
516,Crisil,Analytics & KPO,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.9k,3.5
517,Lucas-TVS,Auto Components,Job Security,"Promotions / Appraisal, Salary & Benefits",1.9k,3.9
518,Adecco Group,Recruitment,Work Life Balance,"Promotions / Appraisal, Job Security",1.9k,3.8
519,Angel One,FinTech,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",1.9k,3.6
520,CNH (Case New Holland),Industrial Machinery,Work Life Balance,Promotions / Appraisal,1.9k,3.7
521,Safexpress,Logistics,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1.9k,3.9
522,DHL Supply Chain,Logistics,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1.9k,4.2
523,Aye Finance,NBFC,"Salary & Benefits, Company Culture, Work Life Balance",nan,1.9k,4.1
524,G R Infraprojects,Engineering & Construction,"Salary & Benefits, Skill Development / Learning, Company Culture",nan,1.9k,4.1
525,Aadhar Housing Finance,NBFC,"Company Culture, Skill Development / Learning, Salary & Benefits",nan,1.9k,4.1
526,NTPC,Power,"Company Culture, Work Life Balance, Skill Development / Learning",nan,1.9k,4.2
527,HTC Global Services,IT Services & Consulting,nan,"Promotions / Appraisal, Skill Development / Learning, Company Culture",1.9k,3.4
528,Iris Software,IT Services & Consulting,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,1.9k,3.8
529,Thomson Reuters,Software Product,"Work Life Balance, Company Culture",Promotions / Appraisal,1.9k,3.8
530,Tata Tele Business Services,Telecom,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.9k,3.6
531,Tata Power,Power,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",1.9k,3.9
532,Infinx,Software Product,Job Security,"Promotions / Appraisal, Salary & Benefits",1.9k,3.7
533,Trident Group,Fashion & Textile,Salary & Benefits,"Job Security, Company Culture, Work Life Balance",1.8k,3.3
534,Hindustan Aeronautics,Defence & Aerospace,"Work Life Balance, Work Satisfaction, Job Security",nan,1.8k,4.3
535,TVS Sundram Fasteners,Auto Components,nan,"Promotions / Appraisal, Salary & Benefits, Company Culture",1.8k,3.6
536,Torrent Power,Power,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1.8k,3.8
537,PI Industries,Agro Chemicals,Salary & Benefits,Promotions / Appraisal,1.8k,3.8
538,KENT RO Systems,Consumer Electronics & Appliances,Work Life Balance,Promotions / Appraisal,1.8k,3.8
539,ICICI Home Finance,Financial Services,Salary & Benefits,Work Satisfaction,1.8k,3.7
540,NeoSOFT,IT Services & Consulting,nan,"Job Security, Promotions / Appraisal, Company Culture",1.8k,3.4
541,Jindal Saw,Iron & Steel,"Job Security, Work Life Balance, Work Satisfaction",nan,1.8k,4.0
542,CSB Bank,Banking,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.8k,3.2
543,Medi Assist India,Insurance,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.8k,3.5
544,Aragen Life Sciences,Clinical Research,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1.8k,3.9
545,First American (India),Insurance,nan,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",1.8k,3.5
546,Polycab Wires,Electrical Equipment,"Salary & Benefits, Work Life Balance",nan,1.8k,3.9
547,Honda Cars,Automobile,"Work Life Balance, Company Culture, Job Security",nan,1.8k,4.3
548,Verizon,Telecom,Salary & Benefits,"Promotions / Appraisal, Job Security, Work Satisfaction",1.8k,3.6
549,Fusion CX,BPO,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",1.8k,3.3
550,AXA Global Business Services,IT Services & Consulting,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",1.8k,3.8
551,TELUS Digital,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",1.8k,3.6
552,AkzoNobel,Chemicals,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,1.8k,4.1
553,Sterling & Wilson,Engineering & Construction,"Work Life Balance, Job Security, Company Culture",nan,1.8k,4.0
554,Infra.Market,Building Material,"Salary & Benefits, Company Culture, Work Life Balance",nan,1.8k,3.9
555,Capri Global Capital,NBFC,nan,"Job Security, Promotions / Appraisal, Company Culture",1.8k,3.6
556,Innovsource Services,Recruitment,Work Life Balance,Promotions / Appraisal,1.8k,3.9
557,Stellar Migration,Other,nan,"Company Culture, Work Life Balance, Work Satisfaction",1.8k,1.3
558,Godrej Properties,Real Estate,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Company Culture",1.8k,3.6
559,Cafe Coffee Day,Hospitality,nan,"Promotions / Appraisal, Salary & Benefits, Company Culture",1.8k,3.7
560,Haldiram Foods International Limited,FMCG,nan,Promotions / Appraisal,1.8k,3.8
561,DIVI'S Laboratories,Pharma,Salary & Benefits,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.8k,3.6
562,MetLife,Insurance,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,1.7k,4.1
563,SS&C TECHNOLOGIES,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Company Culture",1.7k,3.2
564,Kalyan Jewellers,Jewellery,"Salary & Benefits, Company Culture, Job Security",nan,1.7k,4.4
565,Digit Insurance,Insurance,"Job Security, Skill Development / Learning",Promotions / Appraisal,1.7k,3.7
566,Hindustan Petroleum,Oil & Gas,"Company Culture, Work Life Balance, Job Security",nan,1.7k,4.2
567,Tata Communications Transformation Services,Telecom,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",1.7k,3.8
568,USHA International,Consumer Electronics & Appliances,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,1.7k,4.1
569,Future Retail,Retail,"Company Culture, Skill Development / Learning, Work Life Balance",nan,1.7k,4.4
570,Reckitt Benckiser,FMCG,"Work Life Balance, Salary & Benefits",Promotions / Appraisal,1.7k,3.9
571,Dhani Loans and Services,NBFC,nan,"Job Security, Promotions / Appraisal",1.7k,3.9
572,Air India,Aviation,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.7k,3.4
573,Security and Intelligence Services (India),Law Enforcement & Security,"Work Life Balance, Job Security, Company Culture",nan,1.7k,4.0
574,USV,Pharma,"Company Culture, Work Life Balance, Job Security",nan,1.7k,4.0
575,HDFC Securities,Financial Services,nan,"Company Culture, Work Satisfaction, Promotions / Appraisal",1.7k,3.4
576,Isgec Heavy Engineering,Engineering & Construction,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.7k,3.8
577,BT Business,Telecom,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,1.7k,3.9
578,Vedantu,EdTech,nan,"Job Security, Promotions / Appraisal, Work Satisfaction",1.7k,3.3
579,Pine Labs,FinTech,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",1.7k,3.3
580,LivSpace,Architecture & Interior Design,nan,"Promotions / Appraisal, Job Security, Work Life Balance",1.7k,3.3
581,Bata,Fashion & Textile,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.7k,3.5
582,Adani Green Energy,Power,"Salary & Benefits, Skill Development / Learning",Promotions / Appraisal,1.7k,3.9
583,Annapurna Finance,NBFC,"Salary & Benefits, Job Security",Promotions / Appraisal,1.7k,3.9
584,XBP Global,Internet,nan,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",1.7k,3.2
585,Metro Cash & Carry,Retail,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,1.7k,4.0
586,Indian Navy,Defence & Aerospace,"Job Security, Skill Development / Learning, Company Culture",nan,1.7k,4.6
587,BVG India,Facility Management Services,"Work Life Balance, Company Culture, Work Satisfaction",nan,1.7k,4.2
588,NEC,IT Services & Consulting,"Work Life Balance, Company Culture, Work Satisfaction",nan,1.7k,4.0
589,Mother Dairy Fruit & Vegetable,Food Processing,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1.7k,4.1
590,Granules India Limited,Pharma,nan,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",1.7k,3.8
591,Cavinkare,FMCG,"Salary & Benefits, Company Culture, Work Life Balance",nan,1.7k,4.0
592,Sysnet Global Technologies,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits",1.7k,3.7
593,Provana,BPO,"Company Culture, Work Life Balance, Work Satisfaction",nan,1.7k,3.9
594,Orange Business,IT Services & Consulting,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,1.7k,4.1
595,Medanta the Medicity,Healthcare,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,1.7k,4.0
596,FactSet,Analytics & KPO,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",1.7k,3.7
597,Caterpillar Inc,Industrial Machinery,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,1.7k,4.1
598,Frankfinn Institute of Air Hostess Training,Education & Training,"Company Culture, Salary & Benefits",nan,1.6k,3.9
599,Orchids International School,Education & Training,Skill Development / Learning,nan,1.7k,3.8
600,Cushman & Wakefield,Real Estate,"Company Culture, Work Life Balance, Job Security",nan,1.6k,4.2
601,Rungta Mines,Metals & Mining,"Work Life Balance, Salary & Benefits, Job Security",nan,1.6k,4.0
602,Hitachi Astemo,Auto Components,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,1.6k,4.1
603,TTEC India,BPO,Company Culture,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",1.6k,3.7
604,HighRadius,Software Product,nan,"Job Security, Company Culture, Work Satisfaction",1.6k,2.6
605,American Broadcasting Company,Engineering & Construction,"Company Culture, Work Life Balance, Job Security",nan,1.6k,4.0
606,Yamaha Motor,Automobile,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,1.6k,4.1
607,Rane (Madras),Auto Components,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits",1.6k,3.9
608,KONE,Industrial Machinery,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,1.6k,4.1
609,MagicBricks,Internet,"Salary & Benefits, Company Culture, Work Life Balance",nan,1.6k,4.0
610,JSW Bhushan Power & Steel,Iron & Steel,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,1.6k,4.0
611,DHL Express,Logistics,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1.6k,4.1
612,L.G.Balakrishnan & Bros,Auto Components,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",1.6k,3.5
613,BA Continuum,IT Services & Consulting,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1.6k,3.9
614,Johnson & Johnson,Healthcare,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,1.6k,4.0
615,Wipro Enterprises Ltd,FMCG,Job Security,"Promotions / Appraisal, Salary & Benefits",1.6k,3.8
616,Procter & Gamble,FMCG,"Company Culture, Skill Development / Learning, Work Life Balance",nan,1.6k,4.0
617,Compass Group Support Services,Facility Management Services,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,1.6k,4.0
618,Vardhman Fabrics,Fashion & Textile,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1.6k,4.0
619,Tata Play,Broadcasting,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,1.6k,4.0
620,Matrimony.com,Internet,"Company Culture, Work Life Balance, Job Security",nan,1.6k,4.0
621,CG Power and Industrial Solutions,Electrical Equipment,nan,Promotions / Appraisal,1.6k,3.8
622,Patanjali Foods,FMCG,nan,"Promotions / Appraisal, Skill Development / Learning",1.6k,3.8
623,Chegg,EdTech,"Work Life Balance, Company Culture, Work Satisfaction","Job Security, Promotions / Appraisal",1.6k,4.1
624,Hero Motors Company,Automobile,"Work Life Balance, Company Culture",Promotions / Appraisal,1.6k,3.9
625,Arvind Group,Fashion & Textile,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,1.6k,4.0
626,Belrise Industries,Auto Components,nan,"Promotions / Appraisal, Company Culture",1.6k,3.7
627,Clover Infotech,IT Services & Consulting,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.6k,3.4
628,CMA CGM,Ports & Shipping,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1.6k,3.9
629,Suryoday Small Finance Bank,Banking,"Job Security, Skill Development / Learning, Salary & Benefits",nan,1.6k,4.0
630,HERE Technologies,IT Services & Consulting,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",1.6k,3.8
631,Krishna Maruti,Auto Components,"Job Security, Work Life Balance",Promotions / Appraisal,1.6k,3.8
632,IIFL SAMASTA,NBFC,nan,"Company Culture, Work Satisfaction, Promotions / Appraisal",1.6k,3.7
633,ReNew,Power,"Job Security, Company Culture, Work Life Balance",nan,1.6k,4.2
634,PharmEasy,Internet,nan,"Job Security, Promotions / Appraisal, Work Satisfaction",1.6k,3.7
635,Marico,FMCG,Salary & Benefits,Promotions / Appraisal,1.6k,3.8
636,Coronis Ajuba Solutions,BPO,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,1.6k,3.9
637,Tata 1mg,Internet,nan,"Promotions / Appraisal, Work Satisfaction, Company Culture",1.6k,3.6
638,Toyota Kirloskar Motor,Automobile,"Company Culture, Skill Development / Learning, Job Security",nan,1.6k,4.3
639,Welspun Living Limited,Fashion & Textile,Skill Development / Learning,Promotions / Appraisal,1.6k,3.9
640,Welspun Living Limited,Fashion & Textile,Skill Development / Learning,Promotions / Appraisal,1.6k,3.9
641,Wockhardt,Pharma,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",1.6k,3.8
642,NielsenIQ,Analytics & KPO,nan,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",1.6k,3.5
643,Goldman Sachs,Financial Services,nan,"Work Life Balance, Job Security, Work Satisfaction",1.6k,3.3
644,Dixon Technologies,Electronics Manufacturing,Skill Development / Learning,nan,1.6k,3.9
645,Emami,FMCG,"Work Life Balance, Job Security",Promotions / Appraisal,1.6k,3.8
646,Satin Creditcare Network,NBFC,"Salary & Benefits, Work Life Balance, Skill Development / Learning",nan,1.6k,3.9
647,Godrej Industries Group,Real Estate,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1.6k,3.9
648,Veritas Finance,NBFC,"Company Culture, Work Life Balance, Salary & Benefits",nan,1.6k,4.3
649,Teva Pharmaceuticals,Pharma,"Work Life Balance, Company Culture",Promotions / Appraisal,1.5k,3.9
650,Shriram Life Insurance,Insurance,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",1.6k,3.5
651,ZF Commercial Vehicle Control Systems,Auto Components,nan,"Promotions / Appraisal, Job Security",1.5k,3.8
652,iOPEX Technologies,IT Services & Consulting,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.5k,3.2
653,Mercer,Management Consulting,nan,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",1.5k,3.6
654,KFC,Hospitality,"Skill Development / Learning, Company Culture, Job Security",nan,1.5k,4.0
655,Supreme Industries,Petrochemicals,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1.5k,4.1
656,Sanofi,Pharma,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,1.5k,4.0
657,Cemindia Projects,Engineering & Construction,"Job Security, Company Culture, Salary & Benefits",nan,1.5k,4.2
658,Relaxo Footwear,Fashion & Textile,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal,1.5k,4.0
659,Asahi India Glass,Auto Components,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",1.5k,3.8
660,IFB,Consumer Electronics & Appliances,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.5k,3.6
661,Urban Company,Internet,nan,"Job Security, Promotions / Appraisal, Work Life Balance",1.5k,3.3
662,Amul India,Food Processing,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1.5k,4.0
663,Marriott International,Hospitality,"Job Security, Skill Development / Learning, Company Culture",nan,1.5k,4.1
664,Broadridge Financial Solutions,FinTech,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1.5k,3.8
665,Bajaj Capital,Financial Services,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",1.5k,3.6
666,Dainik Bhaskar Group,Printing & Publishing,"Company Culture, Skill Development / Learning, Work Life Balance",nan,1.5k,4.2
667,IndiaFirst Life Insurance,Insurance,Salary & Benefits,Job Security,1.5k,3.8
668,Suguna Foods,Food Processing,"Company Culture, Work Life Balance",Promotions / Appraisal,1.5k,4.0
669,HCL Infosystems,IT Services & Consulting,"Work Life Balance, Job Security, Company Culture",nan,1.5k,4.0
670,Gujarat Fluorochemicals,Chemicals,"Job Security, Work Life Balance",Promotions / Appraisal,1.5k,3.9
671,Nayara Energy,Oil & Gas,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal,1.5k,4.1
672,Kotak Mahindra Prime,NBFC,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,1.5k,3.9
673,Muthoot Microfin,NBFC,"Company Culture, Work Life Balance, Job Security",nan,1.5k,4.2
674,Tesco,Retail,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.5k,3.6
675,XL Dynamics,IT Services & Consulting,Salary & Benefits,"Company Culture, Job Security",1.5k,3.6
676,Hinduja Leyland Finance,NBFC,"Work Life Balance, Company Culture",Promotions / Appraisal,1.5k,3.9
677,Bisleri,Beverage,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal,1.5k,4.2
678,SHYAM METALICS AND ENERGY,Metals & Mining,nan,"Promotions / Appraisal, Company Culture, Job Security",1.5k,3.4
679,Oracle Cerner,Software Product,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",1.5k,3.4
680,Patra India,BPO,Job Security,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning",1.5k,3.6
681,Lumax Industries,Auto Components,"Job Security, Skill Development / Learning",Promotions / Appraisal,1.5k,3.9
682,Steel Strips Wheels,Auto Components,nan,"Company Culture, Promotions / Appraisal, Salary & Benefits",1.5k,3.7
683,Evalueserve,Analytics & KPO,nan,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",1.5k,3.0
684,Health Care Global Enterprises,Healthcare,"Company Culture, Work Life Balance, Job Security",nan,1.5k,4.2
685,GMR Group,Engineering & Construction,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1.5k,4.0
686,Piramal Pharma,Pharma,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1.5k,4.0
687,Karur Vysya Bank,Banking,nan,"Promotions / Appraisal, Work Satisfaction, Company Culture",1.5k,3.5
